episode,score,avg_100,best_score,epsilon,avg_loss,buffer_size,elapsed_s
201,0,0.12,2,0.904362,0.194236,3091,28.9
202,3,0.15,3,0.90391,0.153461,3144,29.6
203,0,0.15,3,0.903458,0.127942,3165,29.8
204,0,0.15,3,0.903007,0.161813,3192,30.2
205,2,0.17,3,0.902555,0.119925,3255,31.0
206,0,0.16,3,0.902104,0.144127,3259,31.0
207,1,0.17,3,0.901653,0.145119,3282,31.3
208,1,0.18,3,0.901202,0.119137,3331,32.0
209,0,0.18,3,0.900751,0.151544,3361,32.3
210,1,0.19,3,0.900301,0.179021,3364,32.4
211,2,0.21,3,0.899851,0.153197,3418,33.1
212,0,0.21,3,0.899401,0.091676,3421,33.2
213,0,0.21,3,0.898951,0.140369,3433,33.4
214,0,0.21,3,0.898502,0.142813,3472,33.9
215,0,0.21,3,0.898052,0.15752,3486,34.1
216,0,0.21,3,0.897603,0.113938,3494,34.2
217,1,0.22,3,0.897155,0.143687,3538,34.7
218,0,0.22,3,0.896706,0.160483,3561,35.0
219,0,0.22,3,0.896258,0.089173,3568,35.1
220,0,0.22,3,0.895809,0.108931,3602,35.5
221,0,0.22,3,0.895362,0.112067,3667,36.4
222,0,0.22,3,0.894914,0.146923,3671,36.4
223,0,0.22,3,0.894466,0.139397,3674,36.5
224,1,0.23,3,0.894019,0.100535,3684,36.6
225,1,0.24,3,0.893572,0.135046,3713,37.0
226,0,0.24,3,0.893125,0.093583,3722,37.1
227,1,0.25,3,0.892679,0.14067,3745,37.4
228,0,0.25,3,0.892233,0.139417,3775,37.7
229,0,0.25,3,0.891786,0.103139,3785,37.9
230,0,0.25,3,0.891341,0.116742,3791,38.0
231,0,0.24,3,0.890895,0.127141,3806,38.2
232,0,0.24,3,0.890449,0.107658,3811,38.2
233,0,0.23,3,0.890004,0.113015,3816,38.3
234,1,0.24,3,0.889559,0.12899,3840,38.6
235,0,0.24,3,0.889114,0.121222,3857,38.8
236,0,0.24,3,0.88867,0.091628,3869,39.0
237,0,0.24,3,0.888225,0.160577,3885,39.2
238,0,0.23,3,0.887781,0.17022,3888,39.2
239,0,0.23,3,0.887337,0.129429,3892,39.3
240,0,0.23,3,0.886894,0.173289,3895,39.3
241,0,0.23,3,0.88645,0.119201,3911,39.5
242,1,0.24,3,0.886007,0.111453,3935,39.8
243,0,0.24,3,0.885564,0.07656,3940,39.9
244,0,0.24,3,0.885121,0.127031,3949,40.0
245,0,0.23,3,0.884679,0.133993,3969,40.2
246,0,0.23,3,0.884236,0.138606,3989,40.5
247,0,0.22,3,0.883794,0.134454,3999,40.6
248,0,0.22,3,0.883352,0.208129,4013,40.8
249,1,0.23,3,0.882911,0.196507,4056,41.4
250,0,0.23,3,0.882469,0.208717,4068,41.5
251,0,0.23,3,0.882028,0.164679,4081,41.7
252,0,0.23,3,0.881587,0.155348,4089,41.8
253,0,0.23,3,0.881146,0.148382,4107,42.0
254,0,0.23,3,0.880706,0.16485,4118,42.2
255,0,0.23,3,0.880265,0.13752,4124,42.2
256,1,0.24,3,0.879825,0.137404,4157,42.7
257,0,0.24,3,0.879385,0.148544,4212,43.4
258,0,0.24,3,0.878946,0.106982,4233,43.7
259,0,0.24,3,0.878506,0.120506,4236,43.7
260,0,0.24,3,0.878067,0.115326,4256,44.0
261,0,0.24,3,0.877628,0.113366,4261,44.0
262,0,0.23,3,0.877189,0.129589,4280,44.3
263,1,0.24,3,0.87675,0.126793,4320,44.8
264,0,0.24,3,0.876312,0.110741,4337,45.0
265,0,0.24,3,0.875874,0.129405,4359,45.3
266,0,0.24,3,0.875436,0.142566,4376,45.5
267,0,0.24,3,0.874998,0.085875,4381,45.6
268,0,0.24,3,0.874561,0.152484,4386,45.7
269,0,0.24,3,0.874123,0.128536,4406,45.9
270,0,0.24,3,0.873686,0.128305,4440,46.3
271,0,0.24,3,0.87325,0.089712,4449,46.5
272,0,0.24,3,0.872813,0.069258,4453,46.5
273,0,0.24,3,0.872377,0.13807,4462,46.6
274,1,0.25,3,0.87194,0.117542,4531,47.5
275,0,0.24,3,0.871504,0.105518,4543,47.7
276,0,0.24,3,0.871069,0.084467,4550,47.8
277,0,0.24,3,0.870633,0.09902,4554,47.8
278,0,0.24,3,0.870198,0.113379,4579,48.2
279,0,0.24,3,0.869763,0.112519,4614,48.7
280,1,0.25,3,0.869328,0.116959,4645,49.1
281,0,0.25,3,0.868893,0.131635,4654,49.2
282,0,0.25,3,0.868459,0.129725,4664,49.3
283,0,0.24,3,0.868024,0.111827,4671,49.4
284,0,0.24,3,0.86759,0.124496,4714,50.0
285,0,0.24,3,0.867157,0.093534,4725,50.2
286,0,0.24,3,0.866723,0.158974,4732,50.3
287,0,0.24,3,0.86629,0.101774,4749,50.5
288,0,0.24,3,0.865857,0.092234,4756,50.6
289,0,0.24,3,0.865424,0.131526,4766,50.7
290,0,0.24,3,0.864991,0.110401,4802,51.2
291,0,0.24,3,0.864558,0.129243,4808,51.3
292,0,0.24,3,0.864126,0.109828,4836,51.6
293,0,0.24,3,0.863694,0.12881,4856,51.9
294,1,0.24,3,0.863262,0.122385,4864,52.0
295,0,0.24,3,0.862831,0.124814,4873,52.1
296,0,0.24,3,0.862399,0.139016,4900,52.4
297,0,0.22,3,0.861968,0.087791,4904,52.5
298,0,0.22,3,0.861537,0.104246,4910,52.5
299,0,0.22,3,0.861106,0.101834,4919,52.7
300,1,0.23,3,0.860676,0.087294,4923,52.7
301,0,0.23,3,0.860245,0.12641,4932,52.8
302,0,0.2,3,0.859815,0.073475,4937,52.9
303,0,0.2,3,0.859385,0.07624,4942,53.0
304,0,0.2,3,0.858956,0.128265,4947,53.0
305,0,0.18,3,0.858526,0.1005,4955,53.1
306,0,0.18,3,0.858097,0.104798,4996,53.7
307,0,0.17,3,0.857668,0.241621,5002,53.7
308,0,0.16,3,0.857239,0.245282,5010,53.8
309,0,0.16,3,0.85681,0.223385,5025,54.0
310,0,0.15,3,0.856382,0.145208,5038,54.2
311,0,0.13,3,0.855954,0.149611,5074,54.6
312,0,0.13,3,0.855526,0.117181,5086,54.8
313,1,0.14,3,0.855098,0.08565,5090,54.9
314,0,0.14,3,0.854671,0.130371,5094,54.9
315,0,0.14,3,0.854243,0.145809,5104,55.0
316,0,0.14,3,0.853816,0.125693,5123,55.3
317,0,0.13,3,0.853389,0.126441,5147,55.6
318,0,0.13,3,0.852962,0.100722,5152,55.7
319,0,0.13,3,0.852536,0.123764,5158,55.7
320,0,0.13,3,0.85211,0.132279,5163,55.8
321,1,0.14,3,0.851684,0.130513,5192,56.2
322,2,0.16,3,0.851258,0.148023,5214,56.5
323,0,0.16,3,0.850832,0.104498,5219,56.5
324,0,0.15,3,0.850407,0.118325,5229,56.7
325,0,0.14,3,0.849982,0.128865,5257,57.1
326,0,0.14,3,0.849557,0.128858,5273,57.3
327,0,0.13,3,0.849132,0.118235,5305,57.7
328,0,0.13,3,0.848707,0.112965,5321,57.9
329,0,0.13,3,0.848283,0.12118,5348,58.3
330,0,0.13,3,0.847859,0.134083,5371,58.6
331,0,0.13,3,0.847435,0.11497,5391,58.8
332,0,0.13,3,0.847011,0.108228,5433,59.4
333,0,0.13,3,0.846588,0.109658,5447,59.6
334,0,0.12,3,0.846164,0.145333,5459,59.7
335,1,0.13,3,0.845741,0.111867,5486,60.1
336,0,0.13,3,0.845318,0.064773,5491,60.1
337,0,0.13,3,0.844896,0.127027,5518,60.5
338,0,0.13,3,0.844473,0.110802,5525,60.6
339,0,0.13,3,0.844051,0.097194,5529,60.6
340,0,0.13,3,0.843629,0.119853,5544,60.8
341,0,0.13,3,0.843207,0.12193,5567,61.1
342,1,0.13,3,0.842786,0.090387,5582,61.3
343,0,0.13,3,0.842364,0.101648,5588,61.4
344,0,0.13,3,0.841943,0.121413,5598,61.5
345,2,0.15,3,0.841522,0.112259,5611,61.7
346,0,0.15,3,0.841101,0.153847,5619,61.8
